PERMCO,GVKEY,companyid
2093,5786,15235
7694,5791,15252
36557,5792,15260
14310,61899,15273
39166,140027,15281
55798,115044,15293
32150,65527,15311
14099,61498,15316
22088,16578,15317
15638,182309,15329
14562,62712,15354
17324,179459,15375
13094,30233,15395
16622,121759,15468
20965,5870,15470
22075,15267,15484
15238,64165,15536
11018,24291,15548
9558,14561,15553
20040,1246,15557
15350,64412,15567
20968,5878,15580
37938,138205,15581
9681,14150,15595
13710,31775,15600
42414,146036,15622
37940,137662,15626
31665,63138,15630
13136,30312,15632
11209,24699,15637
9146,13235,15675
7936,11914,15676
10580,21659,15680
10380,17101,15683
6560,5902,15684
31194,61586,15690
8570,12559,15697
25549,5899,15705
20972,5903,15708
9760,14503,15711
14025,61400,15721
8265,4675,15750
20973,5905,15773
30033,29127,15783
5342,17131,15798
15670,62285,15867
32077,65469,15875
14932,61925,15879
41819,162894,15891
16553,120839,15895
11903,26557,15938
10813,23528,15939
14227,61718,15944
16496,120134,15961
18010,130421,15980
11353,24934,15993
9522,12972,16043
31798,63919,16047
13036,30137,16049
45282,143689,16060
12347,28717,16090
16089,110387,16098
38432,135844,16112
7603,5973,16117
10831,26863,16120
35201,122096,16140
13521,31453,16141
11932,27771,16144
10993,24204,16147
12489,29032,16154
2366,5978,16156
37726,136186,16157
38431,138466,16163
7518,4498,16168
41556,142463,16170
29859,28336,16181
16664,122263,16182
13943,61181,16204
10607,22059,16206
11738,25789,16209
10986,24190,16215
6867,6003,16217
13543,31488,16237
2367,6008,16239
36373,126020,16253
20982,6013,16260
12204,28806,16285
17131,124038,16286
15221,64363,16295
5270,16896,16322
5925,6034,16341
2356,6036,16348
3091,7632,16352
10311,18484,16360
12178,28374,16365
18456,133246,16377
16021,106900,16407
18314,130762,16440
29438,24943,16455
15848,65971,16462
7534,6152,16466
17191,124678,16472
15529,64915,16476
14161,61587,16477
2250,6053,16489
31854,22086,16495
20991,6078,16530
5132,6097,16533
20994,6104,16569
27852,6116,16584
16176,112004,16610
16424,118528,16615
12011,27928,16626
37727,136725,16627
41256,142251,16892
14112,61518,16893
15761,65640,16896
8778,14401,16897
47880,164364,16898
16425,118577,16904
34721,109925,16922
6143,6169,16923
21001,6171,16934
36613,108778,16939
28045,6180,16965
14377,62168,17002
14330,62374,17012
5645,6185,17024
10937,24040,17053
11699,25314,17058
37941,65457,17065
6291,6194,17077
38433,138662,17082
22124,15142,17084
3333,8087,17126
12539,29133,17144
7712,14446,17161
16441,119034,17178
40220,140759,17200
7976,12825,17216
12527,29105,17220
12108,28195,17238
25865,13092,17241
43616,123720,17246
2427,6215,17250
21011,6216,17251
14582,62745,17276
12583,29241,17374
35031,6239,17381
16084,64784,17386
20686,4523,17458
29493,25296,17475
21018,6266,17478
9576,13906,17483
29019,24032,17495
13037,30138,17508
41977,13003,17526
20436,2968,17528
16614,121718,17580
29710,25922,17640
2488,6326,17666
11893,26077,17683
21033,6335,17690
6985,6357,17736
2510,6362,17761
7677,6370,17770
21041,6375,17777
21042,6376,17779
2519,6379,17781
11757,25848,17784
15665,65317,17793
21045,6386,17800
14217,61703,17806
9046,14368,17810
21049,6403,17833
37943,138126,17836
2527,6410,17848
12304,28641,17857
6093,6416,17858
17146,124196,17865
21116,6799,17867
13938,61179,17879
31899,64306,17908
2498,6433,17910
21055,6435,17913
29335,24731,17915
41578,143640,17923
42390,17239,17925
16179,112033,17934
21057,6461,17965
21061,6475,18023
16201,112366,18024
31979,64745,18028
29494,25283,18060
11469,25166,18116
2572,118267,18139
15377,64542,18147
40206,140445,18148
2573,6497,18151
41680,142953,18164
5616,6500,18184
21068,6502,18195
15139,63980,18196
11560,25341,18199
13125,30281,18308
